,# of evaluations,epsilon,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,theta_20,theta_21,theta_22,theta_23,theta_24,theta_25,theta_26,theta_27,theta_28,theta_29,theta_30,theta_31,theta_32,theta_33,theta_34,theta_35,theta_36,theta_37,theta_38,theta_39,theta_40,theta_41,theta_42,theta_43,theta_44,theta_45,theta_46,theta_47,theta_48,theta_49,theta_50,theta_51,theta_52,theta_53,theta_54,theta_55,theta_56,theta_57,theta_58,theta_59,theta_60,theta_61,theta_62,theta_63,theta_64,theta_65,theta_66,theta_67,theta_68,theta_69,theta_70,theta_71,theta_72,theta_73,theta_74,theta_75,theta_76,theta_77,theta_78,theta_79,theta_80,theta_81,theta_82,theta_83,theta_84,theta_85,theta_86,theta_87,theta_88,theta_89,theta_90,theta_91,theta_92,theta_93,theta_94,theta_95
106,106,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117831529317,0.5045836179091824,3.4553667179102434,2.378914007156199,0.01477180141765788,1.3772121436437659,1.4952764279618629,3.2283194877931747,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
107,107,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836279091824,3.4553667179102434,2.378914007156199,0.01477180141765788,1.3772121436437659,1.4952764279618629,3.2283194877931747,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
108,108,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667279102434,2.378914007156199,0.01477180141765788,1.3772121436437659,1.4952764279618629,3.2283194877931747,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
109,109,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667179102434,2.378914017156199,0.01477180141765788,1.3772121436437659,1.4952764279618629,3.2283194877931747,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
110,110,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667179102434,2.378914007156199,0.01477181141765788,1.3772121436437659,1.4952764279618629,3.2283194877931747,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
111,111,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667179102434,2.378914007156199,0.01477180141765788,1.3772121536437658,1.4952764279618629,3.2283194877931747,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
112,112,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667179102434,2.378914007156199,0.01477180141765788,1.3772121436437659,1.4952764379618628,3.2283194877931747,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
113,113,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667179102434,2.378914007156199,0.01477180141765788,1.3772121436437659,1.4952764279618629,3.2283194977931746,1.6390929091746338,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
114,114,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667179102434,2.378914007156199,0.01477180141765788,1.3772121436437659,1.4952764279618629,3.2283194877931747,1.6390929191746337,5.076760747795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
115,115,0.0457616807572106,1.8234351690302557,5.7456114770424564,2.2690399059474182,5.942088235555945,2.927277020189406,2.327728375894332,5.7377299602622,4.99782098701095,3.721117821529317,0.5045836179091824,3.4553667179102434,2.378914007156199,0.01477180141765788,1.3772121436437659,1.4952764279618629,3.2283194877931747,1.6390929091746338,5.076760757795833,0.3431756056249903,1.3217929088843172,2.4750098288096885,2.2920249367038683,3.6061504745548802,5.847600075540004,1.4722511629584867,4.390221730783323,5.40866705128009,2.481036864581166,3.862148227450428,2.8704634308372308,6.107685412986284,1.018855611516068,0.1803192545519245,6.177781657932406,1.3626518912834942,1.8419226106872437,6.062251135955948,2.6291733217522917,2.051735078349071,5.057425975685547,3.4080080415842517,5.577120936912296,0.1911826135174175,4.583964712475226,3.992821615733401,2.940796727461589,2.7168595076054047,0.7938351861876418,1.4160533954065897,0.8924946657431893,1.6830968794129424,0.8196823771175508,6.243495096348028,4.466328688783362,0.21397145658108116,5.0527444269589665,1.669301956172941,5.478686619554726,2.2849679437520263,2.4170632668902226,5.728350201958483,2.767322968083676,6.2508945443185455,3.054668280630618,5.172658302268568,4.267594417991586,5.099891007888861,1.7974820305053263,5.707726166501804,3.7270939920414903,0.762123450566377,3.043997056792056,3.2354736013849528,3.9878596100289596,0.046898187290332044,4.54825933041178,5.035203419483399,2.2191225877663334,0.2846021589401035,1.24333994147998,4.182731171754864,4.680817634096836,4.093357054578053,2.163589302501268,4.989742330087641,2.0524137279504897,5.784964633039567,6.254258969510131,5.795920747873095,4.986184299915866,4.108280181375184,4.598767391930155,2.8127720659905924,4.272359472573961,3.24011696316067,5.677877384460536
